user.cs_path: /usr/bin:/bin:/usr/sbin:/sbin
kern.timer.scan_interval: 40000
kern.timer.scan_pauses: 0
kern.timer.scan_postpones: 0
kern.monotonic.task_thread_counting: 1
kern.monotonic.pmis: 209220 0
kern.monotonic.supported: 1
kern.eventhandler.debug: 0
kern.entropy.health.repetition_count_test.reset_count: 2528843183
kern.entropy.health.repetition_count_test.failure_count: 0
kern.entropy.health.repetition_count_test.max_observation_count: 5
kern.entropy.health.adaptive_proportion_test.reset_count: 4957910
kern.entropy.health.adaptive_proportion_test.failure_count: 0
kern.entropy.health.adaptive_proportion_test.max_observation_count: 16
kern.entropy.health.startup_done: 1
kern.entropy.filter.total_sample_count: 2567624114
kern.entropy.filter.accepted_sample_count: 2538414456
kern.entropy.filter.rejected_sample_count: 29209658
kern.entropy.analysis.supported: 0
kern.kern_event.thread_bound_kqwl_support_enabled: 1
kern.cpc.secure: 1
kern.hv.supported: 1
kern.hv.max_address_spaces: 128
kern.hv.ipa_size_16k: 4398046511104
kern.hv.ipa_size_4k: 1099511627776
kern.skywalk.flowswitch.rx_agg_tcp: 16384
kern.skywalk.flowswitch.rx_agg_tcp_host: 2
kern.skywalk.flowswitch.gso_mtu: 16384
kern.skywalk.flowswitch.ip_reass: 2
kern.skywalk.flowswitch.ipfm_frag_ttl: 60
kern.skywalk.flowswitch.ipfm_timeout_tcall_ival: 1
kern.skywalk.flowswitch.flow_route_expire: 600
kern.skywalk.flowswitch.en3.ipfm.frag_limit: 672
kern.skywalk.flowswitch.en3.ipfm.frag_count: 0
kern.skywalk.flowswitch.en3.ipfm.queue_limit: 336
kern.skywalk.flowswitch.en3.ipfm.queue_count: 0
kern.skywalk.flowswitch.en4.ipfm.frag_limit: 672
kern.skywalk.flowswitch.en4.ipfm.frag_count: 0
kern.skywalk.flowswitch.en4.ipfm.queue_limit: 336
kern.skywalk.flowswitch.en4.ipfm.queue_count: 0
kern.skywalk.flowswitch.en5.ipfm.frag_limit: 672
kern.skywalk.flowswitch.en5.ipfm.frag_count: 0
kern.skywalk.flowswitch.en5.ipfm.queue_limit: 336
kern.skywalk.flowswitch.en5.ipfm.queue_count: 0
kern.skywalk.flowswitch.en0.ipfm.frag_limit: 1824
kern.skywalk.flowswitch.en0.ipfm.frag_count: 0
kern.skywalk.flowswitch.en0.ipfm.queue_limit: 912
kern.skywalk.flowswitch.en0.ipfm.queue_count: 0
kern.skywalk.flowswitch.ap1.ipfm.frag_limit: 1824
kern.skywalk.flowswitch.ap1.ipfm.frag_count: 0
kern.skywalk.flowswitch.ap1.ipfm.queue_limit: 912
kern.skywalk.flowswitch.ap1.ipfm.queue_count: 0
kern.skywalk.flowswitch.awdl0.ipfm.frag_limit: 1824
kern.skywalk.flowswitch.awdl0.ipfm.frag_count: 0
kern.skywalk.flowswitch.awdl0.ipfm.queue_limit: 912
kern.skywalk.flowswitch.awdl0.ipfm.queue_count: 0
kern.skywalk.netif.netif_queue_stat_enable: 0
kern.skywalk.netif.default_drop: 0
kern.skywalk.verbose: 0
kern.skywalk.ring_stat_enable: 0
kern.dtrace.ignore_fbt_blacklist: 0
kern.dtrace.dof_mode: 1
kern.dtrace.provide_private_probes: 1
kern.dtrace.global_maxsize: 16384
kern.dtrace.dof_maxsize: 524288
kern.dtrace.difo_maxsize: 262144
kern.dtrace.buffer_memory_inuse: 0
kern.dtrace.buffer_memory_maxsize: 45812984490
kern.dtrace.err_verbose: 0
kern.wq_stalled_window_usecs: 200
kern.wq_reduce_pool_window_usecs: 5000000
kern.wq_max_timer_interval_usecs: 50000
kern.wq_max_threads: 512
kern.wq_max_constrained_threads: 90
kern.aio_wq_reduce_pool_window_usecs: 5000000
kern.ds_supgroups_supported: 1
kern.sugid_scripts: 0
kern.libmalloc_experiments: 0
kern.initproc_spawned: 1
kern.flush_cache_on_write: 0
kern.uuid: FF5FFF89-5F93-3D5F-A4FB-74B8C8C313AC
kern.system_version_compat: 0
kern.osproductversioncompat: 
kern.osproductversion: 26.5.1
kern.osreleasetype: User
kern.iossupportversion: 26.5
kern.bootargs: 
kern.kernelcacheuuid: FA2FED67-B216-9BE3-D07C-44D1417FAEF4
kern.filesetuuid: FA2FED67-B216-9BE3-D07C-44D1417FAEF4
kern.num_files: 7406
kern.num_vnodes: 263168
kern.num_tasks: 16384
kern.num_threads: 81920
kern.num_taskthreads: 16384
kern.num_recycledvnodes: 80578986
kern.free_vnodes: 185485
kern.namecache_disabled: 0
kern.sched_allow_NO_SMT_threads: 1
kern.sched_rt_avoid_cpu0: 0
kern.sched_recommended_cores: 262143
kern.suspend_cluster_powerdown: 0
kern.preheat_max_bytes: 1048576
kern.preheat_min_bytes: 32768
kern.speculative_prefetch_max: 201326592
kern.speculative_prefetch_max_iosize: 524288
kern.vm_page_free_target: 4000
kern.vm_page_free_min: 3500
kern.vm_page_free_reserved: 914
kern.vm_page_speculative_percentage: 5
kern.vm_page_speculative_q_age_ms: 500
kern.vm_max_delayed_work_limit: 32
kern.vm_max_batch: 256
kern.bootsessionuuid: 8DBCAA7A-E528-4A9E-A35C-258334788625
kern.bootuuid: 3D6F21E0-E72D-4964-979F-7761DFEA9898
kern.apfsprebootuuid: 3D6F21E0-E72D-4964-979F-7761DFEA9898
kern.bootobjectspath: /3D6F21E0-E72D-4964-979F-7761DFEA9898/boot/FE319F6168E890C705523047D8EFE0AE1B98C0A885B6C0172C70F2F020680400A20423A4EB73A7EEDF2E61DB031B9414
kern.drivercorefile: /private/var/dextcores/%N.core
kern.ucoredump: 0
kern.kdp_corefile: /System/Volumes/VM/kernelcore
kern.vfsnspace: 0
kern.singleuser: 0
kern.minimalboot: 0
kern.affinity_sets_enabled: 1
kern.affinity_sets_mapping: 1
kern.slide: 1
kern.ipc_voucher_trace_contents: 0
kern.stack_size: 16384
kern.stack_depth_max: 0
kern.kern_feature_overrides: 0
kern.ipc_portbt: 0
kern.sched: edge
kern.cpu_checkin_interval: 5000
kern.precise_user_kernel_time: 1
kern.pervasive_energy: 1
kern.timer_coalesce_bg_scale: -5
kern.timer_resort_threshold_ns: 50000000
kern.timer_coalesce_bg_ns_max: 100000000
kern.timer_coalesce_kt_scale: 3
kern.timer_coalesce_kt_ns_max: 1000000
kern.timer_coalesce_fp_scale: 3
kern.timer_coalesce_fp_ns_max: 1000000
kern.timer_coalesce_ts_scale: 3
kern.timer_coalesce_ts_ns_max: 1000000
kern.timer_coalesce_tier0_scale: 3
kern.timer_coalesce_tier0_ns_max: 1000000
kern.timer_coalesce_tier1_scale: 2
kern.timer_coalesce_tier1_ns_max: 5000000
kern.timer_coalesce_tier2_scale: 1
kern.timer_coalesce_tier2_ns_max: 20000000
kern.timer_coalesce_tier3_scale: -2
kern.timer_coalesce_tier3_ns_max: 75000000
kern.timer_coalesce_tier4_scale: 3
kern.timer_coalesce_tier4_ns_max: 1000000
kern.timer_coalesce_tier5_scale: 3
kern.timer_coalesce_tier5_ns_max: 1000000
kern.hv_support: 1
kern.hv_disable: 0
kern.darkboot: 0
kern.serverperfmode: 0
kern.link_time_optimized: 1
kern.thread_groups_supported: 1
kern.direct_handoff: 1
kern.num_static_scalable_counters: 91
kern.trial_treatment_id: 
kern.trial_experiment_id: 
kern.trial_deployment_id: -1
kern.page_protection_type: 2
kern.task_conclave: 
kern.task_conclave_untaintable: 0
kern.exclaves_relaxed_requirements: 0
kern.exclaves_status: 1
kern.exclaves_boot_stage: 100
kern.static_if_abi: 1
kern.entitled_max_task_pmem: 0
kern.max_task_pmem: 0
kern.memorystatus_level: 94
kern.split_pagein_io: 1
kern.memorystatus_purge_on_warning: 2
kern.memorystatus_purge_on_urgent: 5
kern.memorystatus_purge_on_critical: 8
kern.vm_pressure_level_transition_threshold: 30
kern.stackshot_estimate_adj: 25
kern.msgbuf: 131072
kern.maxnbuf: 16384
kern.nbuf: 16384
kern.task_exc_guard_default: 153
kern.ulock_adaptive_spin_usecs: 20
kern.proc_rsr_in_progress: 0
kern.hv_vmm_present: 0
kern.secure_kernel: 0
kern.willuserspacereboot: 0
kern.wakereason: smc.sysState.Wake(0x70070000) wifibt SMC.OutboxNotEmpty centauri-beta
kern.bootreason: pwrbtn
kern.shutdownreason:  rst crash,crash0_in wdog,reset_in_1 rst_in,reset_in_1_deassert rst crash,crash
kern.shutdowntime: 4985984830932
kern.aotmodebits: 0
kern.aotmode: 0
kern.lowpowerwake: 0
kern.hibernatefile: /var/vm/sleepimage
kern.bootsignature: 
kern.hibernatemode: 0
kern.hibernategraphicsready: 0
kern.hibernatewakenotification: 0
kern.hibernatelockscreenready: 0
kern.hibernatehidready: 0
kern.hibernatecount: 0
kern.pmtimeout: 0
kern.pmcallouttimer: 2000
kern.iokittest: 0
kern.sleeptime: { sec = 1784430615, usec = 886705 } Sun Jul 19 11:10:15 2026
kern.waketime: { sec = 1784430659, usec = 761624 } Sun Jul 19 11:10:59 2026
kern.wake_abs_time: 11611457807798
kern.sleep_abs_time: 11611456402025
kern.useractive_abs_time: 11612375347198
kern.userinactive_abs_time: 0
kern.willshutdown: 0
kern.progressmeterenable: 0
kern.progressmeter: 30
kern.consoleoptions: 0
kern.prng.scheduled_reseed_count: 89018
kern.prng.scheduled_reseed_max_sample_count: 116909587
kern.prng.entropy_max_sample_count: 12492
kern.prng.pool_0.sample_count: 0
kern.prng.pool_0.drain_count: 89018
kern.prng.pool_0.max_sample_count: 10710
kern.prng.pool_1.sample_count: 748
kern.prng.pool_1.drain_count: 44509
kern.prng.pool_1.max_sample_count: 10349
kern.prng.pool_2.sample_count: 3406
kern.prng.pool_2.drain_count: 22254
kern.prng.pool_2.max_sample_count: 14676
kern.prng.pool_3.sample_count: 3167
kern.prng.pool_3.drain_count: 11127
kern.prng.pool_3.max_sample_count: 26398
kern.prng.pool_4.sample_count: 12734
kern.prng.pool_4.drain_count: 5563
kern.prng.pool_4.max_sample_count: 37060
kern.prng.pool_5.sample_count: 30599
kern.prng.pool_5.drain_count: 2781
kern.prng.pool_5.max_sample_count: 60527
kern.prng.pool_6.sample_count: 78171
kern.prng.pool_6.drain_count: 1390
kern.prng.pool_6.max_sample_count: 111237
kern.prng.pool_7.sample_count: 68753
kern.prng.pool_7.drain_count: 695
kern.prng.pool_7.max_sample_count: 198845
kern.prng.pool_8.sample_count: 196410
kern.prng.pool_8.drain_count: 347
kern.prng.pool_8.max_sample_count: 385531
kern.prng.pool_9.sample_count: 455634
kern.prng.pool_9.drain_count: 173
kern.prng.pool_9.max_sample_count: 740973
kern.prng.pool_10.sample_count: 1000243
kern.prng.pool_10.drain_count: 86
kern.prng.pool_10.max_sample_count: 1335396
kern.prng.pool_11.sample_count: 1013828
kern.prng.pool_11.drain_count: 43
kern.prng.pool_11.max_sample_count: 2648732
kern.prng.pool_12.sample_count: 3045566
kern.prng.pool_12.drain_count: 21
kern.prng.pool_12.max_sample_count: 4682425
kern.prng.pool_13.sample_count: 6959391
kern.prng.pool_13.drain_count: 10
kern.prng.pool_13.max_sample_count: 8849051
kern.prng.pool_14.sample_count: 6979070
kern.prng.pool_14.drain_count: 5
kern.prng.pool_14.max_sample_count: 16588853
kern.prng.pool_15.sample_count: 18340853
kern.prng.pool_15.drain_count: 2
kern.prng.pool_15.max_sample_count: 32614228
kern.prng.pool_16.sample_count: 18312134
kern.prng.pool_16.drain_count: 1
kern.prng.pool_16.max_sample_count: 61093139
kern.prng.pool_17.sample_count: 79335765
kern.prng.pool_17.drain_count: 0
kern.prng.pool_17.max_sample_count: 79335765
kern.prng.pool_18.sample_count: 79439888
kern.prng.pool_18.drain_count: 0
kern.prng.pool_18.max_sample_count: 79439888
kern.prng.pool_19.sample_count: 79258696
kern.prng.pool_19.drain_count: 0
kern.prng.pool_19.max_sample_count: 79258696
kern.prng.pool_20.sample_count: 79344903
kern.prng.pool_20.drain_count: 0
kern.prng.pool_20.max_sample_count: 79344903
kern.prng.pool_21.sample_count: 79154231
kern.prng.pool_21.drain_count: 0
kern.prng.pool_21.max_sample_count: 79154231
kern.prng.pool_22.sample_count: 79321425
kern.prng.pool_22.drain_count: 0
kern.prng.pool_22.max_sample_count: 79321425
kern.prng.pool_23.sample_count: 79637402
kern.prng.pool_23.drain_count: 0
kern.prng.pool_23.max_sample_count: 79637402
kern.prng.pool_24.sample_count: 79151934
kern.prng.pool_24.drain_count: 0
kern.prng.pool_24.max_sample_count: 79151934
kern.prng.pool_25.sample_count: 79210620
kern.prng.pool_25.drain_count: 0
kern.prng.pool_25.max_sample_count: 79210620
kern.prng.pool_26.sample_count: 79191891
kern.prng.pool_26.drain_count: 0
kern.prng.pool_26.max_sample_count: 79191891
kern.prng.pool_27.sample_count: 79331644
kern.prng.pool_27.drain_count: 0
kern.prng.pool_27.max_sample_count: 79331644
kern.prng.pool_28.sample_count: 79246307
kern.prng.pool_28.drain_count: 0
kern.prng.pool_28.max_sample_count: 79246307
kern.prng.pool_29.sample_count: 79437844
kern.prng.pool_29.drain_count: 0
kern.prng.pool_29.max_sample_count: 79437844
kern.prng.pool_30.sample_count: 79287252
kern.prng.pool_30.drain_count: 0
kern.prng.pool_30.max_sample_count: 79287252
kern.prng.pool_31.sample_count: 79190958
kern.prng.pool_31.drain_count: 0
kern.prng.pool_31.max_sample_count: 79190958
kern.crypto.sha1: SHA1_VNG_ARM
kern.crypto.sha256: SHA256_VNG_ARM
kern.crypto.sha384: SHA384_VNG_ARM_HW
kern.crypto.sha512: SHA512_VNG_ARM_HW
kern.crypto.sha3: SHA3_VNG_ARM_HW
kern.crypto.aes.ecb.encrypt: AES_ECB_ARM
kern.crypto.aes.ecb.decrypt: AES_ECB_ARM
kern.crypto.aes.xts.encrypt: AES_XTS_ARM
kern.crypto.aes.xts.decrypt: AES_XTS_ARM
kern.uio.mem_size: 134217728
kern.monotonicclock: 5647069
kern.monotonicclock_usecs: 5647069997650 12622990970900
kern.monotonicclock_rate_usecs: 30
kern.monotoniclock_offset_usecs: 1778825737066558
kern.pthread_mutex_default_policy: 0
vm.loadavg: { 7.52 27.88 20.51 }
vm.swapusage: total = 1024.00M  used = 204.88M  free = 819.12M  (encrypted)
vm.compressor.svp.in_hash: 4
vm.compressor.svp.hash_succeeded: 2367369
vm.compressor.svp.hash_failed: 8684
vm.compressor.svp.zval_compressions: 2099594
vm.compressor.svp.zval_decompressions: 818035
vm.compressor.svp.nzval_compressions: 267775
vm.compressor.svp.nzval_decompressions: 102446
vm.compressor.compactor.major_compactions_completed: 3987610
vm.compressor.compactor.major_compactions_considered: 28782935
vm.compressor.compactor.major_compactions_bailed: 27437
vm.compressor.compactor.major_compaction_bytes_moved: 75270817087
vm.compressor.compactor.major_compaction_slots_moved: 8581102
vm.compressor.compactor.major_compaction_bytes_freed: 0
vm.compressor.compactor.major_compaction_segments_freed: 4941928
vm.compressor.compactor.swapouts_queued: 1470681
vm.compressor.compactor.swapouts_queued_pressure: 1470681
vm.compressor.compactor.swapouts_queued_freezer: 0
vm.compressor.compactor.swapouts_queued_donate: 0
vm.compressor.compactor.swapouts_queued_scavenger: 0
vm.compressor.compactor.swapouts_queued_darkwake: 0
vm.compressor.compactor.swapout_bytes_wasted: 3663981248
vm.compressor.swapper.swapouts_total: 6701494
vm.compressor.swapper.swapouts_pressure: 5882712
vm.compressor.swapper.swapouts_freezer: 0
vm.compressor.swapper.swapouts_donate: 0
vm.compressor.swapper.swapouts_scavenger: 0
vm.compressor.swapper.swapouts_darkwake: 0
vm.compressor.swapper.swapins_total: 1563491
vm.compressor.swapper.swapins_pressure: 744709
vm.compressor.swapper.swapins_freezer: 0
vm.compressor.swapper.swapins_donate: 0
vm.compressor.swapper.swapins_scavenger: 0
vm.compressor.swapper.swapins_darkwake: 0
vm.compressor.config.compressor_present: 1
vm.compressor.config.compressor_active: 1
vm.compressor.config.swap_present: 1
vm.compressor.config.swap_active: 1
vm.compressor.config.freezer_swap_enabled: 0
vm.compressor.config.scavenger_swap_enabled: 0
vm.compressor.segment.total: 274326
vm.compressor.segment.aging: 270493
vm.compressor.segment.swappedin_early: 0
vm.compressor.segment.swappedin_regular: 595
vm.compressor.segment.swappedin_late: 0
vm.compressor.segment.swapout_early: 0
vm.compressor.segment.swapout_regular: 0
vm.compressor.segment.swapout_late: 0
vm.compressor.segment.swapio: 0
vm.compressor.segment.swappedout: 2515
vm.compressor.segment.swappedout_sparse: 706
vm.compressor.segment.majorcompact: 1
vm.compressor.segment.minorcompact: 263081
vm.compressor.segment.filling: 16
vm.compressor.segment.empty: 0
vm.compressor.segment.bad: 0
vm.compressor.segment.limit: 2516582
vm.compressor.segment.swappedout_ripe: 0
vm.compressor.debug_events: 0
vm.compressor.mode: 4
vm.compressor.is_active: 1
vm.compressor.is_available: 1
vm.compressor.report_age: 0
vm.compressor.pages_compressed: 97433
vm.compressor.pages_compressed_incore: 51334
vm.compressor.pages_compressed_incore_late_swapout: 0
vm.compressor.pages_compressed_limit: 40265312
vm.compressor.pages_swapped: 23019
vm.compressor.pages_swapped_pressure: 23019
vm.compressor.pages_swapped_freezer: 0
vm.compressor.pages_swapped_scavenger: 0
vm.compressor.pages_swapped_donated: 0
vm.compressor.pages_swapped_darkwake: 0
vm.compressor.pages_swap: 141779
vm.compressor.pages_swap_pressure: 141779
vm.compressor.pages_swap_freezer: 0
vm.compressor.pages_swap_scavenger: 0
vm.compressor.pages_swap_donated: 0
vm.compressor.pages_swap_darkwake: 0
vm.lock_contention.global_enable: 1
vm.lock_contention.local_enable: 0
vm.lock_contention.fault_busy_retry_count: 2
vm.lock_contention.fault_excl_busy_count: 0
vm.lock_contention.fault_page_excl_busy_count: 479
vm.lock_contention.fault_page_excl_clean_count: 0
vm.lock_contention.fault_page_excl_busy_copy_count: 0
vm.lock_contention.fault_page_excl_blocked_obj_count: 0
vm.lock_contention.fault_page_excl_pager_not_ready_count: 0
vm.lock_contention.fault_copy_busy_retry_count: 2
vm.mte.free.total: 4010317
vm.mte.free.taggable: 153891
vm.mte.free.claimable: 14
vm.mte.free.cpu_untagged: 6501971381
vm.mte.free.cpu_claimed: 125
vm.mte.free.cpu_tagged: 133164762
vm.mte.free.tag_storage_untaggable_0: 58
vm.mte.free.tag_storage_untaggable_1: 118227
vm.mte.free.tag_storage_untaggable_2: 24576
vm.mte.free.tag_storage_active_0: 72
vm.mte.free.tag_storage_active_1: 2908
vm.mte.free.tag_storage_active_2: 2783
vm.mte.free.tag_storage_active_3: 50
vm.mte.free.tag_storage_untaggable_activating: 0
vm.mte.cell.disabled: 12115
vm.mte.cell.disabled_recursive: 8192
vm.mte.cell.disabled_unmanaged: 3923
vm.mte.cell.retired: 0
vm.mte.cell.pinned: 1
vm.mte.cell.deactivating: 0
vm.mte.cell.claimed: 215358
vm.mte.cell.inactive: 24590
vm.mte.cell.reclaiming: 0
vm.mte.cell.activating: 0
vm.mte.cell.active_0: 946
vm.mte.cell.active: 10080
vm.mte.tag_storage.reserved: 100
vm.mte.tag_storage.wired: 47
vm.mte.tag_storage.activations: 225022
vm.mte.tag_storage.deactivations: 214942
vm.mte.tag_storage.reclaims: 152552
vm.mte.tag_storage.reclaims_from_cpu: 309
vm.mte.tag_storage.reclaim_failures: 1322
vm.mte.tag_storage.reclaim_wired_failures: 4
vm.mte.tag_storage.wire_relocations: 0
vm.mte.tag_storage.reclaim_compressor_failures: 0
vm.mte.tag_storage.compressor_relocations: 83837
vm.mte.tag_storage.free_unmanaged: 0
vm.mte.tag_storage.cpu_allocated_claimed: 214988
vm.mte.tag_storage.fragmentation: 471
vm.mte.tag_storage.fragmentation_actual: 521
vm.mte.tagged: 154723
vm.mte.refill_thread_wakeups: 86521
vm.mte.no_compressor_pager_for_mte: 0
vm.mte.compress_pages_compressed: 1026384
vm.mte.compress_pages_decompressed: 826665
vm.mte.compress_pages_freed: 196503
vm.mte.compress_pages_corrupted: 0
vm.mte.compress_overhead_bytes: 423168
vm.mte.compress_pages: 3216
vm.mte.compress_ts_pages_used: 8953
vm.mte.compress_non_ts_pages_used: 13427
vm.cs_force_kill: 0
vm.cs_force_hard: 0
vm.cs_debug: 0
vm.cs_debug_fail_on_unsigned_code: 0
vm.cs_debug_unsigned_exec_failures: 0
vm.cs_debug_unsigned_mmap_failures: 0
vm.cs_all_vnodes: 0
vm.cs_system_enforcement: 1
vm.cs_process_enforcement: 0
vm.cs_enforcement_panic: 0
vm.cs_library_validation: 0
vm.swap_enabled: 1
vm.global_user_wire_limit: 116823110451
vm.user_wire_limit: 116823110451
vm.global_no_user_wire_amount: 20615843021
vm.add_wire_count_over_global_limit: 0
vm.add_wire_count_over_user_limit: 0
vm.vm_copy_src_not_internal: 0
vm.vm_copy_src_not_symmetric: 1
vm.vm_copy_src_large: 0
vm.vm_page_internal_count: 1528476
vm.vm_page_external_count: 2701493
vm.vm_page_filecache_min: 2833666
vm.vm_page_xpmapped_min: 600053
vm.compressor_input_bytes: 1333764030464
vm.compressor_compressed_bytes: 714454445360
vm.compressor_bytes_used: 259572928
vm.compressor_swapout_target_age: 0
vm.compressor_available: 1
vm.compressor_segment_buffer_size: 65536
vm.compressor_pool_size: 206158430208
vm.compressor_pool_multiplier: 4
vm.compressor_segment_slots_fixed_array_len: 4
vm.compressor_segment_pages_compressed_limit: 40265312
vm.compressor_segment_alloc_size: 81920
vm.compressor_segment_pages_compressed: 97433
vm.compressor_segment_svp_in_hash: 4
vm.compressor_segment_svp_hash_succeeded: 2367369
vm.compressor_segment_svp_hash_failed: 8684
vm.compressor_min_csegs_per_major_compaction: 30
vm.compressor_eval_period_in_msecs: 250
vm.compressor_sample_min_in_msecs: 500
vm.compressor_sample_max_in_msecs: 10000
vm.compressor_thrashing_threshold_per_10msecs: 50
vm.compressor_thrashing_min_per_10msecs: 20
vm.compressor_swapouts_under_30s: 3500
vm.compressor_swapouts_under_60s: 0
vm.compressor_swapouts_under_300s: 0
vm.compressor_swapper_reclaim_swapins: 818782
vm.compressor_swapper_defrag_swapins: 59312
vm.compressor_swapper_swapout_threshold_exceeded: 3060834
vm.compressor_swapper_swapout_fileq_throttled: 15364
vm.compressor_swapper_swapout_free_count_low: 1
vm.compressor_swapper_swapout_thrashing_detected: 0
vm.compressor_swapper_swapout_fragmentation_detected: 23373187
vm.swapfileprefix: /System/Volumes/VM/swapfile
vm.compressor_timing_enabled: 0
vm.vm_page_donate_mode: 1
vm.vm_page_donate_target_high: 1041036
vm.vm_page_donate_target_low: 100
vm.lz4_compressions: 0
vm.lz4_compression_failures: 0
vm.lz4_compressed_bytes: 0
vm.lz4_wk_compression_delta: 0
vm.lz4_wk_compression_negative_delta: 0
vm.lz4_decompressions: 0
vm.lz4_decompressed_bytes: 0
vm.uc_decompressions: 0
vm.wk_compressions: 0
vm.wk_catime: 0
vm.wkh_catime: 0
vm.wkh_compressions: 0
vm.wks_catime: 0
vm.wks_compressions: 0
vm.wk_compressions_exclusive: 0
vm.wk_sv_compressions: 0
vm.wk_mzv_compressions: 0
vm.wk_compression_failures: 0
vm.wk_compressed_bytes_exclusive: 0
vm.wk_compressed_bytes_total: 0
vm.wks_compressed_bytes: 0
vm.wks_compression_failures: 0
vm.wks_sv_compressions: 0
vm.wk_decompressions: 0
vm.wk_datime: 0
vm.wkh_datime: 0
vm.wkh_decompressions: 0
vm.wks_datime: 0
vm.wks_decompressions: 0
vm.wk_decompressed_bytes: 0
vm.wk_sv_decompressions: 0
vm.lz4_threshold: 12288
vm.wkdm_reeval_threshold: 1536
vm.lz4_max_failure_skips: 0
vm.lz4_max_failure_run_length: -1
vm.lz4_max_preselects: 0
vm.lz4_run_preselection_threshold: -1
vm.lz4_run_continue_bytes: 0
vm.lz4_profitable_bytes: 0
